,index,year,month,categories,problem_type_1,count
961,961,2012,12,CriminalBehaviour,Gunshot,6
962,962,2012,12,CriminalBehaviour,Illegal possession,2
963,963,2012,12,CriminalBehaviour,Illitcit Substance,171
964,964,2012,12,CriminalBehaviour,Irregular Construction,1
965,965,2012,12,CriminalBehaviour,Kidnapping and imprisonment,1
966,966,2012,12,CriminalBehaviour,Maltreatment,2
967,967,2012,12,CriminalBehaviour,Misuse of transport card,2
968,968,2012,12,CriminalBehaviour,Obscene/libelous acts,22
969,969,2012,12,CriminalBehaviour,Physical/Verbal Agression,16
970,970,2012,12,CriminalBehaviour,Possession of explosive device,1
971,971,2012,12,CriminalBehaviour,Robbery,48
972,972,2012,12,CriminalBehaviour,Sexual harassment,1
973,973,2012,12,CriminalBehaviour,Theft,26
974,974,2013,1,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
975,975,2013,1,CriminalBehaviour,Agression,21
976,976,2013,1,CriminalBehaviour,Break-in,126
977,977,2013,1,CriminalBehaviour,Corporal injury,7
978,978,2013,1,CriminalBehaviour,Extortion,1
979,979,2013,1,CriminalBehaviour,Fishing in Prohibited Places,7
980,980,2013,1,CriminalBehaviour,Gambling,1
981,981,2013,1,CriminalBehaviour,Gunshot,5
982,982,2013,1,CriminalBehaviour,Illegal possession,7
983,983,2013,1,CriminalBehaviour,Illitcit Substance,132
984,984,2013,1,CriminalBehaviour,Misuse of transport card,4
985,985,2013,1,CriminalBehaviour,Obscene/libelous acts,11
986,986,2013,1,CriminalBehaviour,Physical/Verbal Agression,26
987,987,2013,1,CriminalBehaviour,Possession of explosive device,1
988,988,2013,1,CriminalBehaviour,Racism,1
989,989,2013,1,CriminalBehaviour,Rape,1
990,990,2013,1,CriminalBehaviour,Robbery,65
991,991,2013,1,CriminalBehaviour,Sexual harassment,1
992,992,2013,1,CriminalBehaviour,Theft,41
993,993,2013,2,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
994,994,2013,2,CriminalBehaviour,Agression,35
995,995,2013,2,CriminalBehaviour,Break-in,77
996,996,2013,2,CriminalBehaviour,Corporal injury,7
997,997,2013,2,CriminalBehaviour,Environmental crime,1
998,998,2013,2,CriminalBehaviour,Extortion,3
999,999,2013,2,CriminalBehaviour,Fishing in Prohibited Places,1
1000,1000,2013,2,CriminalBehaviour,Gambling,1
1001,1001,2013,2,CriminalBehaviour,Gunshot,0
1002,1002,2013,2,CriminalBehaviour,Illegal possession,4
1003,1003,2013,2,CriminalBehaviour,Illitcit Substance,194
1004,1004,2013,2,CriminalBehaviour,Irregular Construction,2
1005,1005,2013,2,CriminalBehaviour,Misuse of transport card,3
1006,1006,2013,2,CriminalBehaviour,Murder,1
1007,1007,2013,2,CriminalBehaviour,Obscene/libelous acts,10
1008,1008,2013,2,CriminalBehaviour,Physical/Verbal Agression,22
1009,1009,2013,2,CriminalBehaviour,Rape,1
1010,1010,2013,2,CriminalBehaviour,Robbery,63
1011,1011,2013,2,CriminalBehaviour,Sexual harassment,5
1012,1012,2013,2,CriminalBehaviour,Theft,43
1013,1013,2013,3,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
1014,1014,2013,3,CriminalBehaviour,Abuse of incapacitated persons,1
1015,1015,2013,3,CriminalBehaviour,Agression,39
1016,1016,2013,3,CriminalBehaviour,Break-in,92
1017,1017,2013,3,CriminalBehaviour,Corporal injury,5
1018,1018,2013,3,CriminalBehaviour,Environmental crime,3
1019,1019,2013,3,CriminalBehaviour,False money,1
1020,1020,2013,3,CriminalBehaviour,Fishing in Prohibited Places,2
1021,1021,2013,3,CriminalBehaviour,Gunshot,8
1022,1022,2013,3,CriminalBehaviour,Illegal possession,7
1023,1023,2013,3,CriminalBehaviour,Illitcit Substance,209
1024,1024,2013,3,CriminalBehaviour,Maltreatment,1
1025,1025,2013,3,CriminalBehaviour,Misuse of transport card,3
1026,1026,2013,3,CriminalBehaviour,Murder,1
1027,1027,2013,3,CriminalBehaviour,Obscene/libelous acts,10
1028,1028,2013,3,CriminalBehaviour,Physical/Verbal Agression,36
1029,1029,2013,3,CriminalBehaviour,Procuring/Pimping (prostitution),1
1030,1030,2013,3,CriminalBehaviour,Prohibited sale of specific products to minors,1
1031,1031,2013,3,CriminalBehaviour,Rape,1
1032,1032,2013,3,CriminalBehaviour,Robbery,72
1033,1033,2013,3,CriminalBehaviour,Sexual harassment,4
1034,1034,2013,3,CriminalBehaviour,Theft,38
1035,1035,2013,3,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",2
1036,1036,2013,4,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1037,1037,2013,4,CriminalBehaviour,Agression,41
1038,1038,2013,4,CriminalBehaviour,Break-in,84
1039,1039,2013,4,CriminalBehaviour,Child grooming/enticement,1
1040,1040,2013,4,CriminalBehaviour,Corporal injury,13
1041,1041,2013,4,CriminalBehaviour,Corruption of minors,1
1042,1042,2013,4,CriminalBehaviour,Environmental crime,3
1043,1043,2013,4,CriminalBehaviour,Extortion,1
1044,1044,2013,4,CriminalBehaviour,Fishing in Prohibited Places,1
1045,1045,2013,4,CriminalBehaviour,Gambling,1
1046,1046,2013,4,CriminalBehaviour,Gang-sacking/pillaging,1
1047,1047,2013,4,CriminalBehaviour,Gunshot,3
1048,1048,2013,4,CriminalBehaviour,Illegal possession,6
1049,1049,2013,4,CriminalBehaviour,Illitcit Substance,195
1050,1050,2013,4,CriminalBehaviour,Irregular Construction,2
1051,1051,2013,4,CriminalBehaviour,Kidnapping and imprisonment,1
1052,1052,2013,4,CriminalBehaviour,Maltreatment,1
1053,1053,2013,4,CriminalBehaviour,Misuse of transport card,10
1054,1054,2013,4,CriminalBehaviour,Murder,3
1055,1055,2013,4,CriminalBehaviour,Obscene/libelous acts,17
1056,1056,2013,4,CriminalBehaviour,Physical/Verbal Agression,29
1057,1057,2013,4,CriminalBehaviour,Possession of explosive device,1
1058,1058,2013,4,CriminalBehaviour,Rape,3
1059,1059,2013,4,CriminalBehaviour,Robbery,96
1060,1060,2013,4,CriminalBehaviour,Theft,54
1061,1061,2013,5,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1062,1062,2013,5,CriminalBehaviour,Abuse of incapacitated persons,1
1063,1063,2013,5,CriminalBehaviour,Agression,35
1064,1064,2013,5,CriminalBehaviour,Break-in,104
1065,1065,2013,5,CriminalBehaviour,Corporal injury,9
1066,1066,2013,5,CriminalBehaviour,Environmental crime,3
1067,1067,2013,5,CriminalBehaviour,Extortion,1
1068,1068,2013,5,CriminalBehaviour,False Identity,3
1069,1069,2013,5,CriminalBehaviour,Fishing in Prohibited Places,2
1070,1070,2013,5,CriminalBehaviour,Fraud (monetary),1
1071,1071,2013,5,CriminalBehaviour,Gunshot,3
1072,1072,2013,5,CriminalBehaviour,Illegal possession,9
1073,1073,2013,5,CriminalBehaviour,Illitcit Substance,297
1074,1074,2013,5,CriminalBehaviour,Irregular Construction,1
1075,1075,2013,5,CriminalBehaviour,Kidnapping and imprisonment,1
1076,1076,2013,5,CriminalBehaviour,Maltreatment,2
1077,1077,2013,5,CriminalBehaviour,Misuse of transport card,4
1078,1078,2013,5,CriminalBehaviour,Murder,1
1079,1079,2013,5,CriminalBehaviour,Obscene/libelous acts,19
1080,1080,2013,5,CriminalBehaviour,Physical/Verbal Agression,32
1081,1081,2013,5,CriminalBehaviour,Possession of explosive device,1
1082,1082,2013,5,CriminalBehaviour,Robbery,108
1083,1083,2013,5,CriminalBehaviour,Sexual harassment,2
1084,1084,2013,5,CriminalBehaviour,Theft,46
1085,1085,2013,5,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1086,1086,2013,6,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1087,1087,2013,6,CriminalBehaviour,Abuse of incapacitated persons,1
1088,1088,2013,6,CriminalBehaviour,Agression,18
1089,1089,2013,6,CriminalBehaviour,Arbitrary violence,1
1090,1090,2013,6,CriminalBehaviour,Break-in,84
1091,1091,2013,6,CriminalBehaviour,Corporal injury,3
1092,1092,2013,6,CriminalBehaviour,Environmental crime,3
1093,1093,2013,6,CriminalBehaviour,False Identity,1
1094,1094,2013,6,CriminalBehaviour,Fishing in Prohibited Places,4
1095,1095,2013,6,CriminalBehaviour,Fraud (monetary),1
1096,1096,2013,6,CriminalBehaviour,Gunshot,1
1097,1097,2013,6,CriminalBehaviour,Illegal possession,1
1098,1098,2013,6,CriminalBehaviour,Illitcit Substance,248
1099,1099,2013,6,CriminalBehaviour,Irregular Construction,1
1100,1100,2013,6,CriminalBehaviour,Misuse of transport card,5
1101,1101,2013,6,CriminalBehaviour,Murder,2
1102,1102,2013,6,CriminalBehaviour,Obscene/libelous acts,17
1103,1103,2013,6,CriminalBehaviour,Physical/Verbal Agression,20
1104,1104,2013,6,CriminalBehaviour,Robbery,99
1105,1105,2013,6,CriminalBehaviour,Sexual harassment,2
1106,1106,2013,6,CriminalBehaviour,Theft,36
1107,1107,2013,7,CriminalBehaviour,Agression,27
1108,1108,2013,7,CriminalBehaviour,Break-in,86
1109,1109,2013,7,CriminalBehaviour,Corporal injury,7
1110,1110,2013,7,CriminalBehaviour,Crime against individual liberty,1
1111,1111,2013,7,CriminalBehaviour,Environmental crime,5
1112,1112,2013,7,CriminalBehaviour,Extortion,2
1113,1113,2013,7,CriminalBehaviour,Fishing in Prohibited Places,2
1114,1114,2013,7,CriminalBehaviour,Fraud (monetary),1
1115,1115,2013,7,CriminalBehaviour,Gunshot,4
1116,1116,2013,7,CriminalBehaviour,Illegal possession,5
1117,1117,2013,7,CriminalBehaviour,Illitcit Substance,183
1118,1118,2013,7,CriminalBehaviour,Irregular Construction,2
1119,1119,2013,7,CriminalBehaviour,Irregular landfill,1
1120,1120,2013,7,CriminalBehaviour,Misuse of transport card,1
1121,1121,2013,7,CriminalBehaviour,Obscene/libelous acts,14
1122,1122,2013,7,CriminalBehaviour,Physical/Verbal Agression,21
1123,1123,2013,7,CriminalBehaviour,Prohibited sale of specific products to minors,1
1124,1124,2013,7,CriminalBehaviour,Robbery,96
1125,1125,2013,7,CriminalBehaviour,Sexual harassment,2
1126,1126,2013,7,CriminalBehaviour,Theft,36
1127,1127,2013,8,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1128,1128,2013,8,CriminalBehaviour,Agression,29
1129,1129,2013,8,CriminalBehaviour,Break-in,79
1130,1130,2013,8,CriminalBehaviour,Corporal injury,5
1131,1131,2013,8,CriminalBehaviour,Environmental crime,1
1132,1132,2013,8,CriminalBehaviour,Extortion,2
1133,1133,2013,8,CriminalBehaviour,False Identity,1
1134,1134,2013,8,CriminalBehaviour,Fishing in Prohibited Places,2
1135,1135,2013,8,CriminalBehaviour,Fraud (monetary),1
1136,1136,2013,8,CriminalBehaviour,Gambling,1
1137,1137,2013,8,CriminalBehaviour,Gunshot,1
1138,1138,2013,8,CriminalBehaviour,Illegal possession,11
1139,1139,2013,8,CriminalBehaviour,Illitcit Substance,247
1140,1140,2013,8,CriminalBehaviour,Irregular Construction,2
1141,1141,2013,8,CriminalBehaviour,Kidnapping and imprisonment,2
1142,1142,2013,8,CriminalBehaviour,Maltreatment,1
1143,1143,2013,8,CriminalBehaviour,Misuse of transport card,5
1144,1144,2013,8,CriminalBehaviour,Obscene/libelous acts,16
1145,1145,2013,8,CriminalBehaviour,Physical/Verbal Agression,28
1146,1146,2013,8,CriminalBehaviour,Possession of explosive device,1
1147,1147,2013,8,CriminalBehaviour,Robbery,114
1148,1148,2013,8,CriminalBehaviour,Sexual harassment,1
1149,1149,2013,8,CriminalBehaviour,Theft,52
1150,1150,2013,8,CriminalBehaviour,"Wearing a uniform, or badge of a public function that he does not exercise",1
1151,1151,2013,9,CriminalBehaviour,Abuse of incapacitated persons,1
1152,1152,2013,9,CriminalBehaviour,Agression,32
1153,1153,2013,9,CriminalBehaviour,Break-in,73
1154,1154,2013,9,CriminalBehaviour,Corporal injury,7
1155,1155,2013,9,CriminalBehaviour,Environmental crime,1
1156,1156,2013,9,CriminalBehaviour,Extortion,2
1157,1157,2013,9,CriminalBehaviour,Fishing in Prohibited Places,2
1158,1158,2013,9,CriminalBehaviour,Fraud (monetary),1
1159,1159,2013,9,CriminalBehaviour,Gunshot,1
1160,1160,2013,9,CriminalBehaviour,Illegal possession,6
1161,1161,2013,9,CriminalBehaviour,Illitcit Substance,199
1162,1162,2013,9,CriminalBehaviour,Irregular landfill,1
1163,1163,2013,9,CriminalBehaviour,Kidnapping and imprisonment,1
1164,1164,2013,9,CriminalBehaviour,Maltreatment,1
1165,1165,2013,9,CriminalBehaviour,Misuse of transport card,2
1166,1166,2013,9,CriminalBehaviour,Obscene/libelous acts,10
1167,1167,2013,9,CriminalBehaviour,Physical/Verbal Agression,35
1168,1168,2013,9,CriminalBehaviour,Rape,1
1169,1169,2013,9,CriminalBehaviour,Robbery,129
1170,1170,2013,9,CriminalBehaviour,Sexual harassment,1
1171,1171,2013,9,CriminalBehaviour,Theft,41
1172,1172,2013,10,CriminalBehaviour,Abuse of incapacitated persons,1
1173,1173,2013,10,CriminalBehaviour,Agression,42
1174,1174,2013,10,CriminalBehaviour,Break-in,98
1175,1175,2013,10,CriminalBehaviour,Child grooming/enticement,1
1176,1176,2013,10,CriminalBehaviour,Corporal injury,4
1177,1177,2013,10,CriminalBehaviour,Crime against individual liberty,1
1178,1178,2013,10,CriminalBehaviour,Environmental crime,6
1179,1179,2013,10,CriminalBehaviour,Fishing in Prohibited Places,5
1180,1180,2013,10,CriminalBehaviour,Fraud (monetary),1
1181,1181,2013,10,CriminalBehaviour,Gambling,1
1182,1182,2013,10,CriminalBehaviour,Gang-sacking/pillaging,2
1183,1183,2013,10,CriminalBehaviour,Gunshot,2
1184,1184,2013,10,CriminalBehaviour,Illegal possession,4
1185,1185,2013,10,CriminalBehaviour,Illitcit Substance,194
1186,1186,2013,10,CriminalBehaviour,Misuse of transport card,1
1187,1187,2013,10,CriminalBehaviour,Murder,1
1188,1188,2013,10,CriminalBehaviour,Obscene/libelous acts,18
1189,1189,2013,10,CriminalBehaviour,Physical/Verbal Agression,35
1190,1190,2013,10,CriminalBehaviour,Possession of explosive device,1
1191,1191,2013,10,CriminalBehaviour,Robbery,119
1192,1192,2013,10,CriminalBehaviour,Sexual harassment,4
1193,1193,2013,10,CriminalBehaviour,Theft,48
1194,1194,2013,11,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1195,1195,2013,11,CriminalBehaviour,Agression,32
1196,1196,2013,11,CriminalBehaviour,Break-in,95
1197,1197,2013,11,CriminalBehaviour,Corporal injury,3
1198,1198,2013,11,CriminalBehaviour,Environmental crime,3
1199,1199,2013,11,CriminalBehaviour,Exploitation of minors,1
1200,1200,2013,11,CriminalBehaviour,Fishing in Prohibited Places,2
1201,1201,2013,11,CriminalBehaviour,Fraud (monetary),1
1202,1202,2013,11,CriminalBehaviour,Gang-sacking/pillaging,2
1203,1203,2013,11,CriminalBehaviour,Gunshot,5
1204,1204,2013,11,CriminalBehaviour,Illegal possession,3
1205,1205,2013,11,CriminalBehaviour,Illitcit Substance,158
1206,1206,2013,11,CriminalBehaviour,Irregular Construction,2
1207,1207,2013,11,CriminalBehaviour,Kidnapping and imprisonment,1
1208,1208,2013,11,CriminalBehaviour,Maltreatment,1
1209,1209,2013,11,CriminalBehaviour,Misuse of transport card,2
1210,1210,2013,11,CriminalBehaviour,Obscene/libelous acts,15
1211,1211,2013,11,CriminalBehaviour,Physical/Verbal Agression,52
1212,1212,2013,11,CriminalBehaviour,Robbery,89
1213,1213,2013,11,CriminalBehaviour,Sexual harassment,2
1214,1214,2013,11,CriminalBehaviour,Theft,52
1215,1215,2013,11,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1216,1216,2013,12,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1217,1217,2013,12,CriminalBehaviour,Abuse of incapacitated persons,1
1218,1218,2013,12,CriminalBehaviour,Agression,39
1219,1219,2013,12,CriminalBehaviour,Arbitrary violence,1
1220,1220,2013,12,CriminalBehaviour,Break-in,110
1221,1221,2013,12,CriminalBehaviour,Corporal injury,13
1222,1222,2013,12,CriminalBehaviour,Environmental crime,4
1223,1223,2013,12,CriminalBehaviour,Extortion,1
1224,1224,2013,12,CriminalBehaviour,False Identity,1
1225,1225,2013,12,CriminalBehaviour,Fraud (monetary),1
1226,1226,2013,12,CriminalBehaviour,Gambling,1
1227,1227,2013,12,CriminalBehaviour,Gang-sacking/pillaging,1
1228,1228,2013,12,CriminalBehaviour,Gunshot,7
1229,1229,2013,12,CriminalBehaviour,Illegal possession,7
1230,1230,2013,12,CriminalBehaviour,Illitcit Substance,175
1231,1231,2013,12,CriminalBehaviour,Misuse of transport card,2
1232,1232,2013,12,CriminalBehaviour,Murder,1
1233,1233,2013,12,CriminalBehaviour,Obscene/libelous acts,21
1234,1234,2013,12,CriminalBehaviour,Physical/Verbal Agression,43
1235,1235,2013,12,CriminalBehaviour,Possession of explosive device,2
1236,1236,2013,12,CriminalBehaviour,Robbery,93
1237,1237,2013,12,CriminalBehaviour,Sexual harassment,3
1238,1238,2013,12,CriminalBehaviour,Smuggling/contraband,1
1239,1239,2013,12,CriminalBehaviour,Theft,45
1240,1240,2014,1,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1241,1241,2014,1,CriminalBehaviour,Agression,45
1242,1242,2014,1,CriminalBehaviour,Break-in,127
1243,1243,2014,1,CriminalBehaviour,Corporal injury,13
1244,1244,2014,1,CriminalBehaviour,Environmental crime,3
1245,1245,2014,1,CriminalBehaviour,Fishing in Prohibited Places,3
1246,1246,2014,1,CriminalBehaviour,Gang-sacking/pillaging,1
1247,1247,2014,1,CriminalBehaviour,Gunshot,6
1248,1248,2014,1,CriminalBehaviour,Illegal possession,9
1249,1249,2014,1,CriminalBehaviour,Illitcit Substance,184
1250,1250,2014,1,CriminalBehaviour,Irregular Construction,1
1251,1251,2014,1,CriminalBehaviour,Kidnapping and imprisonment,1
1252,1252,2014,1,CriminalBehaviour,Maltreatment,1
1253,1253,2014,1,CriminalBehaviour,Misuse of transport card,3
1254,1254,2014,1,CriminalBehaviour,Murder,1
1255,1255,2014,1,CriminalBehaviour,Obscene/libelous acts,19
1256,1256,2014,1,CriminalBehaviour,Physical/Verbal Agression,30
1257,1257,2014,1,CriminalBehaviour,Rape,3
1258,1258,2014,1,CriminalBehaviour,Robbery,133
1259,1259,2014,1,CriminalBehaviour,Sexual harassment,1
1260,1260,2014,1,CriminalBehaviour,Theft,49
1261,1261,2014,1,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1262,1262,2014,2,CriminalBehaviour,Agression,35
1263,1263,2014,2,CriminalBehaviour,Break-in,84
1264,1264,2014,2,CriminalBehaviour,Child grooming/enticement,1
1265,1265,2014,2,CriminalBehaviour,Corporal injury,14
1266,1266,2014,2,CriminalBehaviour,Crime against individual liberty,1
1267,1267,2014,2,CriminalBehaviour,Crime apology,1
1268,1268,2014,2,CriminalBehaviour,Environmental crime,2
1269,1269,2014,2,CriminalBehaviour,Extortion,1
1270,1270,2014,2,CriminalBehaviour,Fishing in Prohibited Places,11
1271,1271,2014,2,CriminalBehaviour,Gambling,1
1272,1272,2014,2,CriminalBehaviour,Gang-sacking/pillaging,1
1273,1273,2014,2,CriminalBehaviour,Gunshot,17
1274,1274,2014,2,CriminalBehaviour,Illegal possession,7
1275,1275,2014,2,CriminalBehaviour,Illitcit Substance,155
1276,1276,2014,2,CriminalBehaviour,Kidnapping and imprisonment,2
1277,1277,2014,2,CriminalBehaviour,Misuse of transport card,2
1278,1278,2014,2,CriminalBehaviour,Murder,1
1279,1279,2014,2,CriminalBehaviour,Obscene/libelous acts,12
1280,1280,2014,2,CriminalBehaviour,Physical/Verbal Agression,33
1281,1281,2014,2,CriminalBehaviour,Possession of explosive device,1
1282,1282,2014,2,CriminalBehaviour,Robbery,152
1283,1283,2014,2,CriminalBehaviour,Sexual harassment,2
1284,1284,2014,2,CriminalBehaviour,Theft,38
1285,1285,2014,3,CriminalBehaviour,Abandonment/nonsupport of incompetent person,3
1286,1286,2014,3,CriminalBehaviour,Agression,46
1287,1287,2014,3,CriminalBehaviour,Break-in,123
1288,1288,2014,3,CriminalBehaviour,Corporal injury,12
1289,1289,2014,3,CriminalBehaviour,Crime against individual liberty,1
1290,1290,2014,3,CriminalBehaviour,Environmental crime,6
1291,1291,2014,3,CriminalBehaviour,Fishing in Prohibited Places,8
1292,1292,2014,3,CriminalBehaviour,Fraud (monetary),1
1293,1293,2014,3,CriminalBehaviour,Gang-sacking/pillaging,1
1294,1294,2014,3,CriminalBehaviour,Gunshot,17
1295,1295,2014,3,CriminalBehaviour,Homophobia,1
1296,1296,2014,3,CriminalBehaviour,Illegal possession,6
1297,1297,2014,3,CriminalBehaviour,Illitcit Substance,164
1298,1298,2014,3,CriminalBehaviour,Kidnapping and imprisonment,1
1299,1299,2014,3,CriminalBehaviour,Maltreatment,1
1300,1300,2014,3,CriminalBehaviour,Misuse of transport card,7
1301,1301,2014,3,CriminalBehaviour,Obscene/libelous acts,12
1302,1302,2014,3,CriminalBehaviour,Physical/Verbal Agression,55
1303,1303,2014,3,CriminalBehaviour,Rape,1
1304,1304,2014,3,CriminalBehaviour,Robbery,200
1305,1305,2014,3,CriminalBehaviour,Sexual harassment,6
1306,1306,2014,3,CriminalBehaviour,Theft,52
1307,1307,2014,3,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1308,1308,2014,4,CriminalBehaviour,Agression,42
1309,1309,2014,4,CriminalBehaviour,Break-in,103
1310,1310,2014,4,CriminalBehaviour,Child grooming/enticement,1
1311,1311,2014,4,CriminalBehaviour,Corporal injury,3
1312,1312,2014,4,CriminalBehaviour,Environmental crime,4
1313,1313,2014,4,CriminalBehaviour,False Identity,1
1314,1314,2014,4,CriminalBehaviour,False money,2
1315,1315,2014,4,CriminalBehaviour,Fishing in Prohibited Places,7
1316,1316,2014,4,CriminalBehaviour,Fraud (monetary),1
1317,1317,2014,4,CriminalBehaviour,Gunshot,14
1318,1318,2014,4,CriminalBehaviour,Illegal possession,3
1319,1319,2014,4,CriminalBehaviour,Illitcit Substance,180
1320,1320,2014,4,CriminalBehaviour,Maltreatment,1
1321,1321,2014,4,CriminalBehaviour,Misuse of transport card,3
1322,1322,2014,4,CriminalBehaviour,Obscene/libelous acts,14
1323,1323,2014,4,CriminalBehaviour,Physical/Verbal Agression,40
1324,1324,2014,4,CriminalBehaviour,Rape,1
1325,1325,2014,4,CriminalBehaviour,Robbery,198
1326,1326,2014,4,CriminalBehaviour,Sexual harassment,4
1327,1327,2014,4,CriminalBehaviour,Theft,62
1328,1328,2014,5,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1329,1329,2014,5,CriminalBehaviour,Abuse of incapacitated persons,2
1330,1330,2014,5,CriminalBehaviour,Agression,39
1331,1331,2014,5,CriminalBehaviour,Break-in,108
1332,1332,2014,5,CriminalBehaviour,Corporal injury,4
1333,1333,2014,5,CriminalBehaviour,Environmental crime,1
1334,1334,2014,5,CriminalBehaviour,Exploitation of minors,1
1335,1335,2014,5,CriminalBehaviour,False money,1
1336,1336,2014,5,CriminalBehaviour,Fishing in Prohibited Places,4
1337,1337,2014,5,CriminalBehaviour,Gambling,1
1338,1338,2014,5,CriminalBehaviour,Gunshot,10
1339,1339,2014,5,CriminalBehaviour,Illegal possession,1
1340,1340,2014,5,CriminalBehaviour,Illitcit Substance,172
1341,1341,2014,5,CriminalBehaviour,Misuse of transport card,3
1342,1342,2014,5,CriminalBehaviour,Murder,1
1343,1343,2014,5,CriminalBehaviour,Obscene/libelous acts,11
1344,1344,2014,5,CriminalBehaviour,Physical/Verbal Agression,46
1345,1345,2014,5,CriminalBehaviour,Robbery,182
1346,1346,2014,5,CriminalBehaviour,Sexual harassment,5
1347,1347,2014,5,CriminalBehaviour,Theft,66
1348,1348,2014,5,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1349,1349,2014,6,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1350,1350,2014,6,CriminalBehaviour,Agression,31
1351,1351,2014,6,CriminalBehaviour,Break-in,88
1352,1352,2014,6,CriminalBehaviour,Child grooming/enticement,1
1353,1353,2014,6,CriminalBehaviour,Corporal injury,4
1354,1354,2014,6,CriminalBehaviour,False money,1
1355,1355,2014,6,CriminalBehaviour,Fishing in Prohibited Places,1
1356,1356,2014,6,CriminalBehaviour,Fraud (monetary),2
1357,1357,2014,6,CriminalBehaviour,Gunshot,22
1358,1358,2014,6,CriminalBehaviour,Illegal possession,5
1359,1359,2014,6,CriminalBehaviour,Illitcit Substance,135
1360,1360,2014,6,CriminalBehaviour,Impersonating a public official,1
1361,1361,2014,6,CriminalBehaviour,Irregular Construction,1
1362,1362,2014,6,CriminalBehaviour,Maltreatment,1
1363,1363,2014,6,CriminalBehaviour,Murder,1
1364,1364,2014,6,CriminalBehaviour,Obscene/libelous acts,7
1365,1365,2014,6,CriminalBehaviour,Physical/Verbal Agression,32
1366,1366,2014,6,CriminalBehaviour,Possession of explosive device,1
1367,1367,2014,6,CriminalBehaviour,Prohibited sale of specific products to minors,1
1368,1368,2014,6,CriminalBehaviour,Rape,2
1369,1369,2014,6,CriminalBehaviour,Robbery,169
1370,1370,2014,6,CriminalBehaviour,Sexual harassment,1
1371,1371,2014,6,CriminalBehaviour,Theft,47
1372,1372,2014,6,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1373,1373,2014,7,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1374,1374,2014,7,CriminalBehaviour,Abuse of incapacitated persons,1
1375,1375,2014,7,CriminalBehaviour,Agression,28
1376,1376,2014,7,CriminalBehaviour,Break-in,77
1377,1377,2014,7,CriminalBehaviour,Corporal injury,8
1378,1378,2014,7,CriminalBehaviour,Discrimination,1
1379,1379,2014,7,CriminalBehaviour,Environmental crime,1
1380,1380,2014,7,CriminalBehaviour,False Identity,1
1381,1381,2014,7,CriminalBehaviour,False money,1
1382,1382,2014,7,CriminalBehaviour,Fishing in Prohibited Places,3
1383,1383,2014,7,CriminalBehaviour,Fraud (monetary),3
1384,1384,2014,7,CriminalBehaviour,Gunshot,8
1385,1385,2014,7,CriminalBehaviour,Illegal possession,4
1386,1386,2014,7,CriminalBehaviour,Illitcit Substance,149
1387,1387,2014,7,CriminalBehaviour,Misuse of transport card,1
1388,1388,2014,7,CriminalBehaviour,Obscene/libelous acts,8
1389,1389,2014,7,CriminalBehaviour,Physical/Verbal Agression,30
1390,1390,2014,7,CriminalBehaviour,Possession of explosive device,1
1391,1391,2014,7,CriminalBehaviour,Robbery,158
1392,1392,2014,7,CriminalBehaviour,Sexual harassment,1
1393,1393,2014,7,CriminalBehaviour,Theft,38
1394,1394,2014,7,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
1395,1395,2014,8,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
1396,1396,2014,8,CriminalBehaviour,Agression,48
1397,1397,2014,8,CriminalBehaviour,Break-in,82
1398,1398,2014,8,CriminalBehaviour,Corporal injury,8
1399,1399,2014,8,CriminalBehaviour,Crime against individual liberty,1
1400,1400,2014,8,CriminalBehaviour,Fishing in Prohibited Places,4
1401,1401,2014,8,CriminalBehaviour,Gang-sacking/pillaging,1
1402,1402,2014,8,CriminalBehaviour,Gunshot,16
1403,1403,2014,8,CriminalBehaviour,Illegal possession,8
1404,1404,2014,8,CriminalBehaviour,Illitcit Substance,143
1405,1405,2014,8,CriminalBehaviour,Kidnapping and imprisonment,1
1406,1406,2014,8,CriminalBehaviour,Misuse of transport card,1
1407,1407,2014,8,CriminalBehaviour,Obscene/libelous acts,12
